Sector;Num. stocks;EPS(rial);Group P/E
metal ining;2610000000,00;935;5,17
metal ining;19000000000,00;430;7,40
metal ining;17100000000,00;1041;7,40
metal ining;18000000000,00;601;7,40
metal ining;2410000000,00;341;7,40
metal ining;2040000000,00;1469;7,40
Oil products;1050000000,00;3398;5,43
Oil products;1220000000,00;146;5,43
Oil products;1000000000,00;2704;5,43
Oil products;2000000000,00;4417;5,43
Oil products;600000000,00;5220;5,43
Oil products;13800000000,00;2187;5,43
Oil products;10000000000,00;636;5,43
Oil products;750000000,00;1342;5,43
Oil products;3680000000,00;66272;5,43
Oil products;1940000000,00;3525;5,43
Oil products;1030000000,00;2491;5,43
Tier &plastic;833000000,00;1849;5,34
Metals;2000000000,00;529;9,18
Metals;43400000000,00;455;9,18
Metals;50000000000,00;701;9,18
Metals;7870000000,00;501;9,18
Metals;2000000000,00;447;9,18
Metals;607000000,00;359;9,18
Metals;16800000000,00;208;9,18
Metals;8000000000,00;1643;9,18
Metals;1900000000,00;332;9,18
Metals;5600000000,00;498;9,18
Metal products;1000000000,00;500;9,12
Machines&equipment;900000000,00;461;9,42
Electronic machines;1500000000,00;739;8,26
Electronic machines;6800000000,00;724;8,26
Car prod.;12000000000,00;160;15,54
Car prod.;17400000000,00;9;15,54
Car prod.;6770000000,00;14;15,54
Car prod.;5070000000,00;300;15,54
Car prod.;1500000000,00;749;15,54
Electricity supp;728000000,00;1735;6,68
Medicine;2900000000,00;996;5,19
Medicine;2100000000,00;900;5,19
Medicine;698000000,00;1549;5,19
Medicine;250000000,00;1964;5,19
Medicine;205000000,00;3347;5,19
Medicine;80000000,00;7225;5,19
Medicine;600000000,00;3019;5,19
Petrochemical;43500000000,00;1037;5,71
Petrochemical;24800000000,00;2045;5,71
Petrochemical;30000000000,00;1680;5,71
Petrochemical;3600000000,00;1237;5,71
Petrochemical;3000000000,00;4055;5,71
Petrochemical;700000000,00;1887;5,71
Petrochemical;1790000000,00;1812;5,71
Petrochemical;2000000000,00;4680;5,71
Petrochemical;2310000000,00;4011;5,71
Petrochemical;1770000000,00;1635;5,71
Petrochemical;2400000000,00;4010;5,71
Petrochemical;5100000000,00;1467;5,71
Petrochemical;4000000000,00;5530;5,71
Petrochemical;950000000,00;4441;5,71
Cement;4500000000,00;510;4,81
Cement;1750000000,00;990;4,81
Cement;271000000,00;4306;4,81
Cement;274000000,00;3669;4,81
Tourism;800000000,00;816;9,56
Investment co;6100000000,00;187;5,69
Investment co;10000000000,00;337;5,69
Investment co;1000000000,00;592;5,69
Investment co;3000000000,00;908;5,69
Investment co;3590000000,00;846;5,69
Investment co;3000000000,00;696;5,69
Investment co;2420000000,00;190;5,69
Investment co;5800000000,00;264;5,69
Banking;57800000000,00;140;8,32
Banking;40000000000,00;45;8,32
Banking;45700000000,00;108;8,32
Banking;5000000000,00;482;8,32
Banking;6000000000,00;25;8,32
Banking;6000000000,00;409;8,32
Banking;42000000000,00;301;8,32
Banking;4000000000,00;64;8,32
Banking;15800000000,00;62;8,32
Banking;10000000000,00;235;8,32
Banking;11300000000,00;356;8,32
Banking;8500000000,00;320;8,32
Banking;4000000000,00;364;8,32
Leasing;2400000000,00;264;6,42
"Engineering
services";10000000000,00;501;10,49
